API10,Continous Injected (bbl),Cyclic Injected (bbl),Days Well Injected,Days Well Produced,Field Name,Gas Produced (Mcf),Latitude,Lease Name,Longitude,Month,Oil Produced (bbl),Operator Name,Pool Code,Range,Section,Spud,Total Steam Injected (bbl),Township,Water Injected (bbl),Water Produced (bbl),Well,Well Type Inj,Well Type Prod
0402903682,,,,16.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-12-01,98.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,16.0,5-6-35Z,,OG
0402903682,,,,9.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-10-01,65.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,9.0,5-6-35Z,,OG
0402903682,,,,27.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-09-01,210.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,27.0,5-6-35Z,,OG
0402903682,,,,15.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-07-01,88.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,15.0,5-6-35Z,,OG
0402903682,,,,30.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-06-01,179.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,30.0,5-6-35Z,,OG
0402903682,,,,31.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-05-01,153.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,31.0,5-6-35Z,,OG
0402903682,,,,30.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-04-01,170.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,30.0,5-6-35Z,,OG
0402903682,,,,31.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-03-01,180.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,23.0,5-6-35Z,,OG
0402903682,,,,26.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-02-01,19.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,0.0,5-6-35Z,,OG
0402903682,,,,26.0,Midway-Sunset,0.0,35.275205,,-119.582706,1983-01-01,22.0,"California Resources Elk Hills, LLC",00,22E,35,1977-01-01,,30S,,0.0,5-6-35Z,,OG
