API10,Continous Injected (bbl),Cyclic Injected (bbl),Days Well Injected,Days Well Produced,Field Name,Gas Produced (Mcf),Latitude,Lease Name,Longitude,Month,Oil Produced (bbl),Operator Name,Pool Code,Range,Section,Spud,Total Steam Injected (bbl),Township,Water Injected (bbl),Water Produced (bbl),Well,Well Type Inj,Well Type Prod
0402900522,,,,25.0,Ant Hill,0.0,35.39703,,-118.862005,2006-07-01,60.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,2025.0,81,,OG
0402900522,,,,30.0,Ant Hill,0.0,35.39703,,-118.862005,2006-06-01,80.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,2430.0,81,,OG
0402900522,,,,31.0,Ant Hill,0.0,35.39703,,-118.862005,2006-05-01,83.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,2511.0,81,,OG
0402900522,,,,30.0,Ant Hill,0.0,35.39703,,-118.862005,2006-04-01,70.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,2430.0,81,,OG
0402900522,,,,29.0,Ant Hill,0.0,35.39703,,-118.862005,2006-03-01,50.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,2361.0,81,,OG
0402900522,,,,28.0,Ant Hill,0.0,35.39703,,-118.862005,2006-02-01,18.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,1148.0,81,,OG
0402900522,,,,31.0,Ant Hill,0.0,35.39703,,-118.862005,2006-01-01,18.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,713.0,81,,OG
0402900522,,,,31.0,Ant Hill,0.0,35.39703,,-118.862005,2005-12-01,19.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,713.0,81,,OG
0402900522,,,,29.0,Ant Hill,0.0,35.39703,,-118.862005,2005-11-01,32.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,841.0,81,,OG
0402900522,,,,31.0,Ant Hill,0.0,35.39703,,-118.862005,2005-10-01,33.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,930.0,81,,OG
0402900522,,,,30.0,Ant Hill,0.0,35.39703,,-118.862005,2005-09-01,11.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,960.0,81,,OG
0402900522,,,,31.0,Ant Hill,0.0,35.39703,,-118.862005,2005-08-01,40.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,992.0,81,,OG
0402900522,,,,30.0,Ant Hill,0.0,35.39703,,-118.862005,2005-07-01,35.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,810.0,81,,OG
0402900522,,,,29.0,Ant Hill,0.0,35.39703,,-118.862005,2005-06-01,31.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,841.0,81,,OG
0402900522,,,,30.0,Ant Hill,0.0,35.39703,,-118.862005,2005-05-01,60.0,California Resources Production Corporation,05,29E,21,1977-01-01,,29S,,720.0,81,,OG
