District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
4,029-40487,Chevron U.S.A. Inc.,C5640,Ant Hill,18,2940487,nan,62,P,OG,21,29S,29E,MD,0,Any Area,35.395444,-118.866121,hud,83,N,N,N, ,,,
4,029-40331,California Resources Production Corporation,C0885,Ant Hill,18,2940331,nan,63,P,OG,21,29S,29E,MD,0,Any Area,35.393808,-118.866309,gps,83,N,N,N, ,1967-06-24,,
4,029-42822,Lacal Oil Corp. and Lyle A. Garner,05172,Ant Hill,18,2942822,Murano,16-1,P,OG,16,29S,29E,MD,0,Any Area,35.402896,-118.868852,hud,83,N,N,N, ,,,
4,029-49558,California Resources Production Corporation,C0885,Ant Hill,18,2949558,Southern Pacific,A-68-15,P,OG,15,29S,29E,MD,0,Any Area,35.39867,-118.85002,gps,83,N,N,N, ,,,
4,029-68980,Dale Hankins,02037,Ant Hill,18,2968980,Samson-SP,1,P,OG,15,29S,29E,MD,0,Any Area,35.400197,-118.84737,gps,83,N,N,N, ,,,
4,029-88119,California Resources Production Corporation,C0885,Ant Hill,18,2988119,Southern Pacific,C-7,A,"OG, SC",15,29S,29E,MD,0,Any Area,35.399537,-118.858999,gps,83,N,N,N, ,,,
4,030-01839,"Stockdale Oil & Gas, Inc.",S6360,Ant Hill,18,3001839,Siegfus,USC-2,C,OG,22,29S,29E,MD,0,Any Area,35.3980519445,-118.859686156,mip,83,Y,N,N, ,,,
4,030-01866,California Resources Production Corporation,C0885,Ant Hill,18,3001866,Southern Pacific,C-45,A,OG,15,29S,29E,MD,0,Any Area,35.403384,-118.852667,gps,83,N,N,N, ,,,
4,030-01416,"Stockdale Oil & Gas, Inc.",S6360,Ant Hill,18,3001416,nan,UC75,C,OG,21,29S,29E,MD,0,Any Area,35.3970199687,-118.863435296,mip,83,N,N,N, ,,,
4,030-01417,California Resources Production Corporation,C0885,Ant Hill,18,3001417,nan,UC76,I,"OG, SC",21,29S,29E,MD,0,Any Area,35.395895,-118.862717,gps,83,N,N,N, ,,,
4,030-16308,California Resources Production Corporation,C0885,Ant Hill,18,3016308,Siegfus,1H,A,OG,22,29S,29E,MD,0,Any Area,35.393887,-118.860724,gps,83,Y,N,N, ,,,
4,030-20637,California Resources Production Corporation,C0885,Ant Hill,18,3020637,Southern Pacific,2H,A,OG,15,29S,29E,MD,0,Any Area,35.40314,-118.849956,gps,83,N,N,N, ,,,
4,030-22600,California Resources Production Corporation,C0885,Ant Hill,18,3022600,Southern Pacific,WA 3H,A,"OG, SC",15,29S,29E,MD,0,Any Area,35.400691,-118.860569,gps,83,N,N,N, ,,,
