District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-00038,Aera Energy LLC,A0610,Coalinga,150,01900038,nan,738,P,OG,29,19S,15E,MD,0,Any Area,36.2400553,-120.368373145,gps,83,N,N,N, ,1966-12-26,1967-01-06,2001-02-01
5,019-00040,Aera Energy LLC,A0610,Coalinga,150,01900040,nan,256A,P,OG,27,19S,15E,MD,0,Any Area,36.243839824,-120.328397071,gps,83,N,N,N, ,1966-12-14,1966-12-22,2000-07-18
5,019-00046,Aera Energy LLC,A0610,Coalinga,150,01900046,nan,142X,P,WF,27,19S,15E,MD,0,Any Area,36.249016702,-120.329229157,gps,83,N,N,N, ,1957-09-04,1957-09-07,2001-04-26
5,019-00052,Aera Energy LLC,A0610,Coalinga,150,01900052,nan,285A,P,OG,27,19S,15E,MD,0,Any Area,36.244193731,-120.319601611,opr,83,N,N,N, ,1967-02-01,1967-02-15,1996-11-12
5,019-00060,Aera Energy LLC,A0610,Coalinga,150,01900060,nan,182,P,OG,27,19S,15E,MD,0,Any Area,36.249757595,-120.319797667,opr,83,N,N,N, ,1952-04-09,1952-04-14,1977-06-17
5,019-00061,Aera Energy LLC,A0610,Coalinga,150,01900061,nan,136X,I,OG,27,19S,15E,MD,0,Any Area,36.246693773,-120.330636212,gps,83,N,N,N, ,1963-05-30,1963-06-05,
5,019-00066,Aera Energy LLC,A0610,Coalinga,150,01900066,WM&M,1,P,OG,31,19S,15E,MD,0,Any Area,36.232223565,-120.375044438,opr,83,N,N,N, ,1910-01-15,1912-06-17,1949-06-15
5,019-00067,Aera Energy LLC,A0610,Coalinga,150,01900067,Aztec,1-A,I,OG,31,19S,15E,MD,0,Any Area,36.232450564,-120.375516465,gps,83,N,N,N, ,1949-05-03,1949-05-13,
5,019-00068,Aera Energy LLC,A0610,Coalinga,150,01900068,Aztec,2,P,OG,31,19S,15E,MD,0,Any Area,36.232277549,-120.373573361,gps,83,N,N,N, ,1910-06-01,1912-09-20,1950-01-24
5,019-00069,Aera Energy LLC,A0610,Coalinga,150,01900069,Aztec,2-A,P,"OG, SC",31,19S,15E,MD,0,Any Area,36.232268554,-120.374079388,gps,83,N,N,N, ,1949-10-27,1949-11-03,2012-09-04
5,019-00070,Aera Energy LLC,A0610,Coalinga,150,01900070,Aztec,3,P,OG,31,19S,15E,MD,0,Any Area,36.230997582,-120.373573352,gps,83,N,N,N, ,,,1948-10-15
5,019-00071,Aera Energy LLC,A0610,Coalinga,150,01900071,Aztec,7,P,OG,31,19S,15E,MD,0,Any Area,36.231675587,-120.375835476,gps,83,N,N,N, ,,,1949-10-05
5,019-00072,Aera Energy LLC,A0610,Coalinga,150,01900072,Aztec,7-A,P,OG,31,19S,15E,MD,0,Any Area,36.231682592,-120.376349503,gps,83,N,N,N, ,1949-08-22,1949-08-29,2012-11-29
5,019-00073,Aera Energy LLC,A0610,Coalinga,150,01900073,Aztec,8,P,OG,31,19S,15E,MD,0,Any Area,36.230275612,-120.374746408,gps,83,N,N,N, ,1918-11-01,1919-02-01,2006-04-07
