District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-04079,Aera Energy LLC,A0610,Coalinga,150,01904079,Penn-Zier,4-H,P,SF,1,20S,14.0,MD,0,Any Area,36.216666176,-120.396239446,gps,83,N,N,N, ,1964-04-29,1964-05-11,2001-02-28
5,019-04080,Aera Energy LLC,A0610,Coalinga,150,01904080,Penn-Zier,2-G,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.218435143,-120.397552528,gps,83,N,N,N, ,1965-04-04,1965-04-06,
5,019-04081,Aera Energy LLC,A0610,Coalinga,150,01904081,Penn-Zier,2-I,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.218443121,-120.395379413,gps,83,N,N,N, ,,,
5,019-04082,Aera Energy LLC,A0610,Coalinga,150,01904082,Penn-Zier,3-F,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.217537179,-120.398824589,gps,83,N,N,N, ,1965-04-01,1965-04-03,
5,019-04083,Aera Energy LLC,A0610,Coalinga,150,01904083,Penn-Zier,3-G,P,SF,1,20S,14.0,MD,0,Any Area,36.217554165,-120.397536521,gps,83,N,N,N, ,1966-01-22,1966-06-28,2008-01-31
5,019-04084,Aera Energy LLC,A0610,Coalinga,150,01904084,Penn-Zier,3-H,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.217560157,-120.396743479,gps,83,N,N,N, ,1965-01-27,1965-01-29,
5,019-04085,Aera Energy LLC,A0610,Coalinga,150,01904085,Penn-Zier,3-J,P,"OG, SC",1,20S,14.0,MD,0,Any Area,36.217573133,-120.39429735,gps,83,N,N,N, ,,,
5,019-04086,Aera Energy LLC,A0610,Coalinga,150,01904086,Penn-Zier,4-E,P,"OG, SC",1,20S,14.0,MD,0,Any Area,36.216646211,-120.399753632,gps,83,N,N,N, ,1965-03-28,1965-03-31,2002-07-18
5,019-04087,Aera Energy LLC,A0610,Coalinga,150,01904087,Penn-Zier,4-G,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.216645187,-120.397322504,gps,83,N,N,N, ,1964-04-22,1964-04-28,
5,019-04088,Aera Energy LLC,A0610,Coalinga,150,01904088,Penn-Zier,4-I,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.216536171,-120.395368399,gps,83,N,N,N, ,1965-01-21,1965-01-29,
5,019-04089,Aera Energy LLC,A0610,Coalinga,150,01904089,Penn-Zier,4-K,P,OG,1,20S,14.0,MD,0,Any Area,36.216696145,-120.393174284,gps,83,N,N,N, ,1965-01-16,1965-01-22,2000-10-12
5,019-04090,Aera Energy LLC,A0610,Coalinga,150,01904090,Penn-Zier,5-F,A,"OB, OG, SC",1,20S,14.0,MD,0,Any Area,36.215728224,-120.398638567,gps,83,N,N,N, ,1965-03-25,1965-03-27,
5,019-04091,Aera Energy LLC,A0610,Coalinga,150,01904091,Penn-Zier,5-H,A,"OB, OG, SC",1,20S,14.0,MD,0,Any Area,36.215596206,-120.396485452,gps,83,N,N,N, ,1965-01-24,1965-01-26,
5,019-04092,Aera Energy LLC,A0610,Coalinga,150,01904092,Penn-Zier,6-E,P,OG,1,20S,14.0,MD,0,Any Area,36.214843258,-120.399731618,gps,83,N,N,N, ,1965-06-28,1965-07-01,2000-10-12
5,019-04093,Aera Energy LLC,A0610,Coalinga,150,01904093,Penn-Zier,6-G,A,"OG, SC",1,20S,14.0,MD,0,Any Area,36.214862236,-120.397574504,gps,83,N,N,N, ,1965-03-22,1965-03-24,
